;Date;Production;Prediction
1020;2034-07-24;1214933468.2447264;1
1021;2034-07-31;1252569447.8658407;1
1022;2034-08-07;1226967042.7870812;1
1023;2034-08-14;1206213711.3752367;1
1024;2034-08-21;1130457979.0751116;1
1025;2034-08-28;1156818797.920933;1
1026;2034-09-04;1083344425.5077624;1
1027;2034-09-11;1019885101.547434;1
1028;2034-09-18;1020709346.3099861;1
1029;2034-09-25;1033952752.3082823;1
1030;2034-10-02;989692578.5935965;1
1031;2034-10-09;1014641102.255521;1
1032;2034-10-16;1029290757.5940813;1
1033;2034-10-23;1008283357.8194779;1
1034;2034-10-30;1042741793.3343961;1
1035;2034-11-06;1024123397.0643923;1
1036;2034-11-13;1029665726.9783418;1
1037;2034-11-20;1096061354.7147071;1
1038;2034-11-27;1132241122.6814132;1
1039;2034-12-04;1119353526.901873;1
1040;2034-12-11;923592386.1199838;1
1041;2034-12-18;937800285.6097927;1
1042;2034-12-25;1070434392.1472578;1
1043;2035-01-01;1120363142.0099237;1
1044;2035-01-08;1254097127.6540616;1
1045;2035-01-15;1214451297.2084568;1
1046;2035-01-22;1078605806.3866022;1
1047;2035-01-29;1153650686.692527;1
1048;2035-02-05;1028732162.2353958;1
1049;2035-02-12;1092836504.5910685;1
1050;2035-02-19;1105531419.7472599;1
